method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE-B,current_y,10,5,446971.05321875,4632916.15109375,9,True,-33.07407407407406,34.666666666666664,-48.666666666666664,119.33333333333333,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.2222222222222222
BRIDGE-B,current_y,10,6,446971.05321875,4635309.64165625,42,True,42.25396825396826,35.0,-91.41666666666667,219.75,0.5714285714285714,0.0,0.42857142857142855,0.23809523809523808
BRIDGE-B,current_y,10,7,446971.05321875,4637703.13221875,205,True,-91.94796747967479,-79.66666666666667,-363.0,149.0,0.4097560975609756,0.014634146341463415,0.5756097560975609,0.3073170731707317
BRIDGE-B,current_y,10,8,446971.05321875,4640096.62278125,151,True,-214.34657836644593,-89.0,-393.3333333333333,0.0,0.08609271523178808,0.2251655629139073,0.6887417218543046,0.06622516556291391
BRIDGE-B,current_y,10,9,446971.05321875,4642490.11334375,88,True,-93.76136363636364,0.0,-159.91666666666666,0.0,0.045454545454545456,0.5795454545454546,0.375,0.045454545454545456
BRIDGE-B,current_y,10,10,446971.05321875,4644883.60390625,26,True,60.24358974358974,124.0,2.5,170.0,0.7692307692307693,0.11538461538461539,0.11538461538461539,0.7692307692307693
BRIDGE-B,current_y,10,11,446971.05321875,4647277.09446875,3,False,-138.0,-274.0,-286.5,-57.5,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
BRIDGE-B,current_y,11,4,448053.16590625,4630522.66053125,7,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,11,5,448053.16590625,4632916.15109375,11,True,32.0,6.333333333333333,-1.1666666666666667,39.16666666666667,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.18181818181818182
BRIDGE-B,current_y,11,6,448053.16590625,4635309.64165625,75,True,2.991111111111111,-20.666666666666668,-150.5,96.5,0.38666666666666666,0.0,0.6133333333333333,0.18666666666666668
