source,target,length_m,highway,osm_way_id
27440574,7662877966,21.508,residential,4476763
7662877966,27440574,21.508,residential,4476763
7662877966,5651936619,26.239,residential,4476763
5651936619,7662877966,26.239,residential,4476763
5651936619,27440573,44.472,residential,4476763
27440573,5651936619,44.472,residential,4476763
261114939,354053085,101.08,secondary,4476768
354053085,261114939,101.08,secondary,4476768
354053085,354053082,101.453,secondary,4476768
354053082,354053085,101.453,secondary,4476768
354053082,314768946,101.578,secondary,4476768
314768946,354053082,101.578,secondary,4476768
314768946,8622762213,88.65,secondary,4476768
8622762213,314768946,88.65,secondary,4476768
8622762213,5891694338,6.713,secondary,4476768
5891694338,8622762213,6.713,secondary,4476768
27446488,27446489,12.38,primary,4477283
27446494,2787305582,11.235,secondary,4477285
2787305582,262173232,59.13,secondary,4477285
26098065,2996970986,56.904,motorway,4477307
2996970986,347275962,45.59,motorway,4477307
347275962,26098063,87.436,motorway,4477307
26098063,2996970990,38.944,motorway,4477307
2996970990,2996970992,60.008,motorway,4477307
2996970992,347275611,63.763,motorway,4477307
26098066,2996970985,39.424,motorway,4477308
2996970985,26098065,32.75,motorway,4477308
25779235,2996970987,30.427,motorway,4477310
2996970987,25779236,32.792,motorway,4477310
349897295,2987005885,30.96,motorway,4519497
2987005885,2987005884,37.738,motorway,4519497
2987005884,2987005882,37.052,motorway,4519497
2987005882,2987005880,36.466,motorway,4519497
2987005880,2930349087,59.048,motorway,4519497
2930349087,2930349085,91.358,motorway,4519497
2930349085,2987005874,50.025,motorway,4519497
2987005874,9263837572,27.924,motorway,4519497
9263837572,2987005871,19.452,motorway,4519497
26793983,713057555,30.731,motorway_link,4519501
713057555,713057560,76.775,motorway_link,4519501
713057560,713057561,102.936,motorway_link,4519501
713057561,713057563,99.191,motorway_link,4519501
713057563,713057568,22.127,motorway_link,4519501
713057568,713056463,14.711,motorway_link,4519501
740243454,2401831551,26.465,secondary,4543073
2401831551,4322791448,13.992,secondary,4543073
258021247,5823702639,99.695,primary,4543179
5823702639,4227056461,12.191,primary,4543179
4227056461,619040175,9.676,primary,4543179
258019075,6894376348,49.335,motorway,4572278
6894376348,713057503,51.384,motorway,4572278
713057503,713057506,119.648,motorway,4572278
713057506,713057509,19.891,motorway,4572278
713057509,713057512,18.814,motorway,4572278
713057512,713057515,19.541,motorway,4572278
713057515,713057517,21.707,motorway,4572278
713057517,713057520,21.993,motorway,4572278
713057520,713057523,18.339,motorway,4572278
713057523,713057525,18.294,motorway,4572278
713057525,713057528,18.863,motorway,4572278
713057528,713057531,16.44,motorway,4572278
713057531,713057535,22.035,motorway,4572278
713057535,713057536,18.4,motorway,4572278
713057536,713057537,24.059,motorway,4572278
713057537,713057538,22.075,motorway,4572278
713057538,713057539,18.994,motorway,4572278
713057539,713056700,20.093,motorway,4572278
3174564488,1889135848,17.517,motorway_link,4599075
1889135848,1889135857,27.308,motorway_link,4599075
1889135857,27366978,23.125,motorway_link,4599075
27366978,353725693,24.071,motorway_link,4599075
353725693,1941037295,10.968,motorway_link,4599075
1941037295,1880193345,9.312,motorway_link,4599075
1880193345,1941037646,10.342,motorway_link,4599075
1941037646,353725694,11.135,motorway_link,4599075
353725694,27366979,21.088,motorway_link,4599075
27366979,353725695,17.375,motorway_link,4599075
353725695,1880193428,18.063,motorway_link,4599075
1880193428,1941037193,11.314,motorway_link,4599075
1941037193,27366980,12.283,motorway_link,4599075
27366980,353725696,17.543,motorway_link,4599075
353725696,1880193549,16.16,motorway_link,4599075
1880193549,27366981,17.504,motorway_link,4599075
27366981,1880193432,18.805,motorway_link,4599075
1880193432,353725697,15.117,motorway_link,4599075
353725697,27366982,27.616,motorway_link,4599075
27366982,1880193614,23.039,motorway_link,4599075
1880193614,1427518124,19.499,motorway_link,4599075
1427518124,353723610,30.378,motorway_link,4599075
353723610,353725699,42.874,motorway_link,4599075
353725699,353725700,45.525,motorway_link,4599075
353725700,353725701,31.389,motorway_link,4599075
4043180080,5701128054,12.149,secondary,4630403
5701128054,4043180080,12.149,secondary,4630403
5701128054,4043180079,7.43,secondary,4630403
4043180079,5701128054,7.43,secondary,4630403
27446719,4156113217,132.975,secondary,4630404
4156113217,27446710,8.883,secondary,4630404
27446710,4156113221,8.674,secondary,4630404
