node_id,lon,lat,x_m,y_m
295526874,-87.6790984,41.9250114,443692.559,4641673.345
295526986,-87.6439331,41.9255317,446608.737,4641708.619
295527376,-87.7501889,42.0118363,437882.466,4651362.577
295527381,-87.7530523,42.0118648,437645.396,4651367.823
295527395,-87.7576784,42.011919,437262.394,4651377.221
295527893,-87.7464289,42.0172606,438199.057,4651962.116
295527924,-87.7416235,42.0134534,438593.263,4651535.943
295527964,-87.7327856,42.0065147,439318.454,4650759.237
295527965,-87.7325552,42.006303,439337.333,4650735.569
295527972,-87.7311226,42.0059135,439455.597,4650691.309
295527975,-87.7320139,42.0058502,439381.728,4650684.911
295527976,-87.7316137,42.0055492,439414.583,4650651.208
295528070,-87.7251544,42.0012618,439945.453,4650170.627
295528148,-87.7233058,42.0001132,440097.471,4650041.804
295528175,-87.6997304,42.012074,442060.796,4651353.585
295528258,-87.697001,42.032724,442305.47,4653644.514
295528261,-87.6992696,42.0356816,442120.368,4653974.429
295528263,-87.7055505,42.033749,441598.716,4653764.12
295528354,-87.7183266,42.0335671,440541.011,4653752.722
295528429,-87.7195349,42.0335463,440440.975,4653751.253
295528430,-87.7183688,42.031784,440535.856,4653554.773
295528438,-87.7206949,42.0354082,440346.697,4653958.789
295528443,-87.7206485,42.0371981,440352.212,4654157.49
295528444,-87.7207549,42.033538,440339.982,4653751.181
296369597,-87.6875483,41.9218619,442989.128,4641329.245
296370420,-87.6875723,41.9226196,442987.812,4641413.387
296370597,-87.6875672,41.9224585,442988.092,4641395.497
296370770,-87.6877573,41.9240569,442973.752,4641573.091
296370790,-87.6875964,41.9233769,442986.488,4641497.485
296370896,-87.6875426,41.9216508,442989.413,4641305.803
296370957,-87.6875085,41.9206068,442991.311,4641189.867
296371089,-87.6874888,41.9199858,442992.392,4641120.906
296371182,-87.687458,41.9190756,442994.136,4641019.827
296371197,-87.6874444,41.9185851,442994.827,4640965.359
296371331,-87.6874366,41.9183373,442995.253,4640937.841
296371986,-87.6825165,41.9176729,443402.661,4640860.815
296372319,-87.680105,41.9177133,443602.67,4640863.712
296373587,-87.685239,41.9249369,443183.342,4641669.124
296373786,-87.6857698,41.926078,443140.344,4641796.17
296373826,-87.6876697,41.9256635,442982.446,4641751.411
296374736,-87.6355056,41.8891407,447277.566,4637662.993
296381301,-87.5892013,41.7951824,451047.487,4627203.723
296381692,-87.5889688,41.7952372,451066.845,4627209.675
296382265,-87.5923003,41.7951445,450789.983,4627201.284
300456421,-87.6823486,41.9104075,443410.166,4640054.041
305268196,-87.7452718,41.8804995,438162.824,4636776.849
305271709,-87.7081155,41.8664234,441232.905,4635187.912
305282003,-87.7251781,41.8661764,439816.626,4635172.31
305282005,-87.712977,41.8663235,440829.351,4635180.16
305282007,-87.7105519,41.866353,441030.64,4635181.767
305282094,-87.7447498,41.8658961,438192.068,4635155.095
305285930,-87.6749263,41.8396587,443963.962,4632194.124
305285932,-87.6731663,41.839911,444110.307,4632220.989
305285933,-87.6699056,41.8413342,444382.261,4632376.885
305302768,-87.7435263,41.8220083,438251.423,4630281.49
305322595,-87.7274867,41.9828345,439734.919,4648126.289
305323004,-87.7282917,41.9777235,439663.407,4647559.385
305323501,-87.7358856,41.9895821,439045.586,4648881.416
305323503,-87.7358663,41.9888224,439046.46,4648797.053
305323504,-87.7352041,41.9888543,439101.342,4648800.124
305323505,-87.7363653,41.9888153,439005.12,4648796.62
305515604,-87.7424913,41.9900264,438498.851,4648935.469
305515750,-87.7383696,41.9900243,438840.255,4648932.284
305515831,-87.7407977,41.9900508,438639.158,4648936.964
305516137,-87.7353353,41.9900518,439091.616,4648933.175
305516138,-87.7354095,41.9888557,439084.33,4648800.425
305516141,-87.735287,41.9882464,439093.896,4648732.688
305516142,-87.7353847,41.9882482,439085.805,4648732.957
305516373,-87.7364442,41.9881028,438997.904,4648717.568
305516530,-87.7354925,41.9882491,439076.876,4648733.134
