scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
train,direct_topk,18,5,716,0.538434267,51.921000000,53.590000000
train,direct_topk,18,6,786,0.535449207,82.143000000,79.091500000
train,direct_topk,18,7,305,0.530672133,84.048000000,80.255500000
train,direct_topk,18,8,941,0.523841321,62.481500000,59.129500000
train,direct_topk,18,9,717,0.522561073,82.197500000,79.017000000
train,direct_topk,18,10,1191,0.522494376,63.812000000,58.906500000
train,direct_topk,18,11,217,0.517045677,77.646500000,76.064500000
train,direct_topk,18,12,782,0.513644576,60.906000000,56.097000000
train,direct_topk,18,13,742,0.513250351,49.975500000,59.615000000
train,direct_topk,18,14,762,0.512333453,75.420500000,77.185000000
train,direct_topk,18,15,1161,0.509060860,81.345500000,80.891000000
train,direct_topk,18,16,990,0.508334935,82.805000000,80.888500000
train,direct_topk,18,17,1041,0.506165922,76.844500000,75.013500000
train,direct_topk,18,18,944,0.504919410,65.331000000,66.653500000
train,jaccard_penalty,5,1,745,0.573153615,49.098500000,51.451000000
train,jaccard_penalty,5,2,474,0.540103555,77.631000000,73.839500000
train,jaccard_penalty,5,3,716,0.538434267,51.921000000,53.590000000
train,jaccard_penalty,5,4,1193,0.555435061,47.847000000,54.691500000
train,jaccard_penalty,5,5,607,0.484205633,34.298000000,43.737500000
train,jaccard_penalty,10,1,745,0.573153615,49.098500000,51.451000000
train,jaccard_penalty,10,2,474,0.540103555,77.631000000,73.839500000
train,jaccard_penalty,10,3,716,0.538434267,51.921000000,53.590000000
train,jaccard_penalty,10,4,1193,0.555435061,47.847000000,54.691500000
train,jaccard_penalty,10,5,607,0.484205633,34.298000000,43.737500000
train,jaccard_penalty,10,6,520,0.475850284,83.438500000,84.154000000
train,jaccard_penalty,10,7,254,0.494514942,44.992000000,43.649500000
train,jaccard_penalty,10,8,731,0.448170871,48.320500000,45.912500000
train,jaccard_penalty,10,9,941,0.523841321,62.481500000,59.129500000
train,jaccard_penalty,10,10,845,0.498097181,43.985500000,47.732500000
train,jaccard_penalty,18,1,745,0.573153615,49.098500000,51.451000000
train,jaccard_penalty,18,2,474,0.540103555,77.631000000,73.839500000
train,jaccard_penalty,18,3,716,0.538434267,51.921000000,53.590000000
train,jaccard_penalty,18,4,1193,0.555435061,47.847000000,54.691500000
train,jaccard_penalty,18,5,607,0.484205633,34.298000000,43.737500000
train,jaccard_penalty,18,6,520,0.475850284,83.438500000,84.154000000
train,jaccard_penalty,18,7,254,0.494514942,44.992000000,43.649500000
train,jaccard_penalty,18,8,731,0.448170871,48.320500000,45.912500000
train,jaccard_penalty,18,9,941,0.523841321,62.481500000,59.129500000
train,jaccard_penalty,18,10,845,0.498097181,43.985500000,47.732500000
train,jaccard_penalty,18,11,1060,0.425037056,41.913500000,50.473000000
train,jaccard_penalty,18,12,992,0.328423202,32.733500000,32.373500000
train,jaccard_penalty,18,13,450,0.293157637,57.971500000,59.969000000
train,jaccard_penalty,18,14,775,0.323607832,20.252500000,22.302500000
train,jaccard_penalty,18,15,979,0.278674364,45.368000000,41.247000000
train,jaccard_penalty,18,16,878,0.253447324,28.608500000,27.238000000
train,jaccard_penalty,18,17,887,0.234403178,27.957500000,30.161000000
train,jaccard_penalty,18,18,1108,0.236366525,13.749000000,10.938500000
train,marginal_coverage,5,1,745,0.573153615,49.098500000,51.451000000
train,marginal_coverage,5,2,474,0.540103555,77.631000000,73.839500000
train,marginal_coverage,5,3,716,0.538434267,51.921000000,53.590000000
train,marginal_coverage,5,4,742,0.513250351,49.975500000,59.615000000
train,marginal_coverage,5,5,520,0.475850284,83.438500000,84.154000000
train,marginal_coverage,10,1,745,0.573153615,49.098500000,51.451000000
train,marginal_coverage,10,2,474,0.540103555,77.631000000,73.839500000
train,marginal_coverage,10,3,716,0.538434267,51.921000000,53.590000000
train,marginal_coverage,10,4,742,0.513250351,49.975500000,59.615000000
train,marginal_coverage,10,5,520,0.475850284,83.438500000,84.154000000
train,marginal_coverage,10,6,1162,0.453003615,47.727000000,44.460500000
train,marginal_coverage,10,7,1182,0.400384218,19.348500000,18.873500000
train,marginal_coverage,10,8,473,0.447742730,64.580000000,75.450500000
train,marginal_coverage,10,9,1094,0.358758390,52.522000000,49.115000000
train,marginal_coverage,10,10,673,0.323596150,18.975000000,15.782500000
