region_id,split,prediction,raw_prediction,prediction_rank,shortcut_count,shortcut_rank,cost_weight
172,validation,0.508673894912,29.919874191000,0.555462885738,366,0.467889908257,0.100000000000
173,train,0.048623853211,21.278249741000,0.060050041701,170,0.114261884904,0.100000000000
174,train,0.000834028357,21.886907578000,0.100083402836,1446,0.992493744787,0.100000000000
175,train,0.351959966639,25.961490631000,0.402001668057,388,0.500417014178,0.100000000000
176,train,0.084820683903,22.244064331000,0.137614678899,407,0.527939949958,0.100000000000
177,train,0.061384487073,22.333923340000,0.145120934112,681,0.837364470392,0.100000000000
178,train,0.066805671393,22.421150208000,0.151793160967,703,0.849874895746,0.100000000000
179,train,0.114595496247,22.133993149000,0.120934111760,126,0.063386155129,0.100000000000
180,train,0.647623019183,42.048957825000,0.693911592994,365,0.462885738115,0.100000000000
181,validation,0.697831526272,44.366043091000,0.706422018349,145,0.085904920767,0.100000000000
182,validation,0.420850708924,28.759860992000,0.520433694746,1503,0.995829858215,0.100000000000
183,train,0.101167639700,22.559427261000,0.167639699750,510,0.664720600500,0.100000000000
184,train,0.512093411176,31.764636993000,0.595496246872,675,0.834028356964,0.100000000000
185,validation,0.194495412844,23.491027832000,0.271893244370,606,0.773978315263,0.100000000000
186,train,0.257964970809,24.961162567000,0.356964136781,1342,0.989991659716,0.100000000000
187,train,0.324770642202,25.658023834000,0.386155129274,470,0.613844870726,0.100000000000
188,validation,0.149291075897,22.991333008000,0.221851542952,555,0.725604670559,0.100000000000
189,train,0.033944954128,20.782222748000,0.038365304420,103,0.044203502919,0.100000000000
190,train,0.220433694746,24.256786346000,0.318598832360,1158,0.981651376147,0.100000000000
191,holdout,0.706839032527,45.889907837000,0.714762301918,136,0.079232693912,0.100000000000
192,train,0.795746455379,79.082382202000,0.879065888240,667,0.833194328607,0.100000000000
193,train,-0.003836530442,19.863306046000,0.011676396997,199,0.155129274395,0.100000000000
194,train,0.173644703920,22.802864075000,0.195996663887,237,0.223519599666,0.100000000000
195,train,0.521601334445,29.331485748000,0.536280233528,194,0.146788990826,0.100000000000
196,train,0.678482068390,45.916473389000,0.715596330275,315,0.371142618849,0.100000000000
197,holdout,0.435029190992,29.131059647000,0.529608006672,944,0.945788156797,0.100000000000
198,holdout,0.853211009174,85.192459106000,0.892410341952,328,0.391993327773,0.100000000000
199,train,0.528940783987,29.417510986000,0.538782318599,155,0.098415346122,0.100000000000
200,train,0.500583819850,30.723903656000,0.574645537948,570,0.740617180984,0.100000000000
201,holdout,0.897914929108,127.681610107000,0.942452043369,357,0.445371142619,0.100000000000
