method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE,current_y,7,9,-40791.33190625,168651.083625,1,False,-127.33333333333333,-127.33333333333333,-127.33333333333333,-127.33333333333333,0.0,0.0,1.0,0.0
BRIDGE,current_y,7,10,-40791.33190625,169729.233375,3,False,227.55555555555554,362.3333333333333,136.5,386.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
BRIDGE,current_y,7,12,-40791.33190625,171885.532875,1,False,-495.6666666666667,-495.6666666666667,-495.6666666666667,-495.6666666666667,0.0,0.0,1.0,0.0
BRIDGE,current_y,7,14,-40791.33190625,174041.832375,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,8,2,-39793.93709375,161104.035375,3,False,-122.66666666666667,-156.0,-184.0,-78.0,0.0,0.3333333333333333,0.6666666666666666,0.0
BRIDGE,current_y,8,3,-39793.93709375,162182.185125,5,True,-87.6,-17.0,-246.0,93.0,0.4,0.0,0.6,0.4
BRIDGE,current_y,8,4,-39793.93709375,163260.334875,25,True,8.533333333333335,-41.0,-220.0,167.0,0.48,0.0,0.52,0.48
BRIDGE,current_y,8,5,-39793.93709375,164338.48462499998,141,True,-132.73522458628844,-112.0,-336.0,60.0,0.3404255319148936,0.0070921985815602835,0.6524822695035462,0.3404255319148936
BRIDGE,current_y,8,6,-39793.93709375,165416.634375,142,True,15.46713615023474,41.16666666666667,-144.75,208.25,0.5422535211267606,0.02112676056338028,0.43661971830985913,0.5211267605633803
BRIDGE,current_y,8,7,-39793.93709375,166494.784125,67,True,35.40796019900497,0.0,-160.5,208.0,0.43283582089552236,0.08955223880597014,0.47761194029850745,0.373134328358209
BRIDGE,current_y,8,8,-39793.93709375,167572.933875,32,True,21.281249999999996,0.0,-13.75,86.33333333333333,0.46875,0.15625,0.375,0.46875
BRIDGE,current_y,8,9,-39793.93709375,168651.083625,7,True,98.66666666666667,170.0,-80.66666666666669,272.33333333333337,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143
BRIDGE,current_y,8,10,-39793.93709375,169729.233375,4,False,-28.5,-25.5,-238.5,184.5,0.5,0.0,0.5,0.5
BRIDGE,current_y,8,11,-39793.93709375,170807.383125,3,False,-43.77777777777777,-175.0,-265.66666666666663,112.5,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
BRIDGE,current_y,9,2,-38796.54228125,161104.035375,1,False,540.0,540.0,540.0,540.0,1.0,0.0,0.0,1.0
BRIDGE,current_y,9,3,-38796.54228125,162182.185125,3,False,40.88888888888889,6.0,3.0,61.333333333333336,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
BRIDGE,current_y,9,4,-38796.54228125,163260.334875,10,True,44.1,-38.0,-80.0,125.5,0.3,0.0,0.7,0.3
BRIDGE,current_y,9,5,-38796.54228125,164338.48462499998,82,True,27.504065040650403,12.0,-138.5,184.75,0.5,0.024390243902439025,0.47560975609756095,0.5
