scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
train,direct_topk,10,2,891,1.347485185,164.044000000,165.831500000
train,direct_topk,10,3,768,1.326140642,168.779500000,169.219000000
train,direct_topk,10,4,300,1.323004961,170.123500000,172.576000000
train,direct_topk,10,5,1101,1.296095133,145.308000000,154.292000000
train,direct_topk,10,6,537,1.278423548,152.448000000,159.100000000
train,direct_topk,10,7,710,1.212427855,157.199500000,160.381000000
train,direct_topk,10,8,1031,1.190610766,171.198000000,165.984000000
train,direct_topk,10,9,1136,1.154293895,176.228500000,171.394000000
train,direct_topk,10,10,290,1.134037495,146.201500000,153.329000000
train,direct_topk,18,1,988,1.352652073,181.537500000,186.602500000
train,direct_topk,18,2,891,1.347485185,164.044000000,165.831500000
train,direct_topk,18,3,768,1.326140642,168.779500000,169.219000000
train,direct_topk,18,4,300,1.323004961,170.123500000,172.576000000
train,direct_topk,18,5,1101,1.296095133,145.308000000,154.292000000
train,direct_topk,18,6,537,1.278423548,152.448000000,159.100000000
train,direct_topk,18,7,710,1.212427855,157.199500000,160.381000000
train,direct_topk,18,8,1031,1.190610766,171.198000000,165.984000000
train,direct_topk,18,9,1136,1.154293895,176.228500000,171.394000000
train,direct_topk,18,10,290,1.134037495,146.201500000,153.329000000
train,direct_topk,18,11,709,1.133777380,167.194000000,166.859500000
train,direct_topk,18,12,557,1.083747745,175.509000000,186.475500000
train,direct_topk,18,13,848,1.021933913,176.855500000,186.918500000
train,direct_topk,18,14,1119,0.999087989,175.724500000,178.978000000
train,direct_topk,18,15,652,0.996122420,163.860500000,163.722000000
train,direct_topk,18,16,371,0.995963931,175.524500000,182.430500000
train,direct_topk,18,17,797,0.943206310,171.285500000,177.544500000
train,direct_topk,18,18,544,0.873168170,141.395000000,146.656000000
train,jaccard_penalty,5,1,988,1.352652073,181.537500000,186.602500000
train,jaccard_penalty,5,2,1031,1.190610766,171.198000000,165.984000000
train,jaccard_penalty,5,3,797,0.943206310,171.285500000,177.544500000
train,jaccard_penalty,5,4,544,0.873168170,141.395000000,146.656000000
train,jaccard_penalty,5,5,388,0.720611691,123.270500000,130.033000000
train,jaccard_penalty,10,1,988,1.352652073,181.537500000,186.602500000
train,jaccard_penalty,10,2,1031,1.190610766,171.198000000,165.984000000
train,jaccard_penalty,10,3,797,0.943206310,171.285500000,177.544500000
train,jaccard_penalty,10,4,544,0.873168170,141.395000000,146.656000000
train,jaccard_penalty,10,5,388,0.720611691,123.270500000,130.033000000
train,jaccard_penalty,10,6,508,0.718191743,148.107500000,142.877000000
train,jaccard_penalty,10,7,402,0.690608263,148.394000000,149.046000000
train,jaccard_penalty,10,8,888,0.623846650,91.242500000,94.187000000
train,jaccard_penalty,10,9,1134,0.447850078,108.943500000,105.033500000
train,jaccard_penalty,10,10,903,0.437488735,115.474000000,116.407000000
train,jaccard_penalty,18,1,988,1.352652073,181.537500000,186.602500000
train,jaccard_penalty,18,2,1031,1.190610766,171.198000000,165.984000000
train,jaccard_penalty,18,3,797,0.943206310,171.285500000,177.544500000
train,jaccard_penalty,18,4,544,0.873168170,141.395000000,146.656000000
train,jaccard_penalty,18,5,388,0.720611691,123.270500000,130.033000000
train,jaccard_penalty,18,6,508,0.718191743,148.107500000,142.877000000
train,jaccard_penalty,18,7,402,0.690608263,148.394000000,149.046000000
train,jaccard_penalty,18,8,888,0.623846650,91.242500000,94.187000000
train,jaccard_penalty,18,9,1134,0.447850078,108.943500000,105.033500000
train,jaccard_penalty,18,10,903,0.437488735,115.474000000,116.407000000
train,jaccard_penalty,18,11,518,0.573464394,115.091000000,117.032500000
train,jaccard_penalty,18,12,705,0.479545742,128.362500000,123.574000000
train,jaccard_penalty,18,13,847,0.399687767,117.936500000,107.566000000
train,jaccard_penalty,18,14,911,0.320254177,91.760000000,90.869000000
train,jaccard_penalty,18,15,256,0.314799428,83.566500000,82.397000000
train,jaccard_penalty,18,16,619,0.705458760,109.706000000,114.775500000
train,jaccard_penalty,18,17,158,0.293840051,50.206000000,50.274500000
train,jaccard_penalty,18,18,192,0.275511473,94.055000000,88.978000000
train,marginal_coverage,5,1,988,1.352652073,181.537500000,186.602500000
train,marginal_coverage,5,2,1031,1.190610766,171.198000000,165.984000000
train,marginal_coverage,5,3,544,0.873168170,141.395000000,146.656000000
train,marginal_coverage,5,4,797,0.943206310,171.285500000,177.544500000
train,marginal_coverage,5,5,388,0.720611691,123.270500000,130.033000000
train,marginal_coverage,10,1,988,1.352652073,181.537500000,186.602500000
train,marginal_coverage,10,2,1031,1.190610766,171.198000000,165.984000000
train,marginal_coverage,10,3,544,0.873168170,141.395000000,146.656000000
train,marginal_coverage,10,4,797,0.943206310,171.285500000,177.544500000
train,marginal_coverage,10,5,388,0.720611691,123.270500000,130.033000000
train,marginal_coverage,10,6,508,0.718191743,148.107500000,142.877000000
train,marginal_coverage,10,7,402,0.690608263,148.394000000,149.046000000
train,marginal_coverage,10,8,888,0.623846650,91.242500000,94.187000000
