node_id,seed_score,endpoint_risk,train_proxy_target,validation_proxy_target,test_proxy_target,selected_region_id
25632399,0.36587408,0.15665291,0.42236724,0.45511958,0.58298814,
25632400,0.21275377,0.05377321,0.27649471,0.15837614,0.30418265,
25632401,0.19013992,0.03845804,0.16575001,0.18778048,0.22951053,
25632402,0.09101727,0.02114636,0.15124202,0.02838243,0.07508652,
25632403,0.29008129,0.05288379,0.39302969,0.41392121,0.38607171,
25632404,0.10522961,0.04789680,0.08433458,0.15181674,0.12788257,
25632409,0.12236651,0.18625827,0.12166931,0.24856544,0.08322898,
25632410,0.33779696,0.14563380,0.32335225,0.29740241,0.33488038,
25632411,0.28076935,0.07649724,0.18269067,0.15189067,0.14217255,
25632413,0.27494711,0.15107268,0.28111440,0.31357121,0.15503588,
25632414,0.41560316,0.13067643,0.37968725,0.49005497,0.49006796,
25632417,0.32151023,0.07811801,0.90689778,0.85321796,1.00000000,
25632419,0.17180997,0.48865157,0.17789112,0.18166079,0.13963839,
25632421,0.16448885,0.07700040,0.11192403,0.22321345,0.15468916,
25632422,0.25015372,0.13069741,0.10574340,0.05868133,0.13504180,
25632423,0.34262344,0.10968664,0.26631466,0.22767939,0.16211912,
25632424,0.34805113,0.15701115,0.44212207,0.50041509,0.44482228,
25632425,0.39178181,0.09159295,0.49838191,0.43200514,0.37077710,
25632426,0.35972819,0.12174005,0.28580576,0.24983731,0.22982918,
25632427,0.34007844,0.06197503,0.28738692,0.31404170,0.25499472,
25632428,0.19734895,0.11823121,0.21715428,0.05999687,0.03816130,
25632429,0.20766303,0.10896621,0.12786761,0.05599647,0.06611368,
25632432,0.28717658,0.07835179,0.10856927,0.12223171,0.07701574,
25632433,0.17204481,0.06747857,0.29568636,0.35669252,0.27298126,
25632438,0.17580296,0.06731886,0.16924290,0.28544682,0.20330785,
25632439,0.31043985,0.06769355,0.20368233,0.24919784,0.20639093,
25632440,0.25151512,0.02785612,0.31640720,0.39481652,0.35310906,
25632444,0.10571218,0.00650902,0.31774050,0.37741202,0.28124389,
25632445,0.40937266,0.19992509,0.39553976,0.53244519,0.51776731,
25632446,0.30956122,0.24947123,0.31627849,0.30080310,0.31628093,
25632447,0.18375875,0.13354996,0.19229719,0.25270551,0.18500991,
25632449,0.31355628,0.14822492,0.33147603,0.13894688,0.35737374,
25632450,0.17693384,0.02698430,0.13860296,0.05755270,0.07725317,
25632451,0.13808084,0.01350855,0.17917526,0.26010185,0.20715414,
25632452,0.08081451,0.00491909,0.43085805,0.41642362,0.34551427,
25632453,0.05587880,0.00099028,0.21753138,0.08155873,0.20644824,
25632454,0.30453598,0.12471526,0.11649341,0.05989680,0.13741340,
25632463,0.27265137,0.32599151,0.27473587,0.17104352,0.25138065,
25632466,0.22468160,0.11077525,0.02700559,0.03571177,0.00562471,
25632521,0.30480236,0.08630826,0.22243744,0.16208899,0.26736194,
26015866,0.05632076,0.00000000,0.05331893,0.00000000,0.28149125,
26015868,0.09983658,0.00347948,0.05404328,0.05087095,0.07862047,
26015870,0.10472372,0.00818118,0.10979322,0.11178460,0.05945231,
26015872,0.09190112,0.00243847,0.10754049,0.03622553,0.11573678,
26015874,0.08349470,0.00033031,0.01362339,0.01174694,0.00977372,
26015876,0.11372139,0.00838766,0.05048410,0.11428335,0.00000000,
26015878,0.27297080,0.04074239,0.21015173,0.23661923,0.13722834,
26015879,0.18522733,0.01327101,0.23076908,0.33343711,0.24381492,
26015880,0.30668655,0.03451143,0.12783965,0.19686189,0.23036636,
26015881,0.04604936,0.00164810,0.05675262,0.04804269,0.03765334,
26015882,0.20925897,0.01709987,0.08011352,0.07493504,0.14350261,
26015883,0.05626010,0.00000000,0.03760842,0.00000000,0.05180800,
26015884,0.12483431,0.00966484,0.01585689,0.00000000,0.00721769,
26015885,0.05822766,0.00049514,0.03574029,0.00000000,0.00977050,
26015887,0.12326985,0.01202791,0.02535441,0.00000000,0.00000000,
26015888,0.14825097,0.01739274,0.01509713,0.00975621,0.00000000,
26015889,0.07574753,0.00065976,0.04982375,0.01008228,0.00653769,
26015890,0.13030627,0.00413113,0.05777146,0.05526356,0.00000000,
26015891,0.13441950,0.00717840,0.10615290,0.00000000,0.11097772,
26015892,0.13232578,0.00320058,0.06528152,0.04232875,0.00000000,
26015894,0.11881873,0.00946617,0.10524737,0.21371327,0.15452899,
26015895,0.07630586,0.00462860,0.01260811,0.00752482,0.00000000,
26015896,0.09294900,0.00764621,0.10365847,0.11296593,0.16163570,
26015897,0.10260829,0.00142513,0.09693759,0.11329073,0.06166780,
26015898,0.10057086,0.00764621,0.15338843,0.16460425,0.16808242,
26015899,0.17625788,0.01179689,0.01367230,0.00741942,0.05694442,
26015900,0.12220448,0.00396118,0.32995936,0.39153880,0.16172500,
26015901,0.09411123,0.00115232,0.01396270,0.05335565,0.00734029,
26015902,0.07611425,0.00049514,0.25028092,0.01008559,0.00734993,
26015903,0.09997257,0.00000000,0.05331893,0.01995285,0.00000000,
26015904,0.09501210,0.00838766,0.04472923,0.00992902,0.00000000,
26015905,0.10417525,0.00099028,0.07794185,0.06004856,0.00000000,
26015906,0.08955603,0.00115489,0.01269550,0.11593270,0.00734025,
26015907,0.16471809,0.00776159,0.03125388,0.06142009,0.03273557,
26015908,0.14455760,0.00364025,0.09759595,0.03562222,0.05715694,
26015909,0.20981051,0.01662461,0.02239170,0.00977071,0.13012663,
26015910,0.12240960,0.00950022,0.12077645,0.11255487,0.00722002,
26015911,0.18178888,0.00876240,0.09303977,0.00992171,0.00961173,
26015912,0.16281164,0.01012593,0.02423845,0.14059713,0.00000000,
26015913,0.16877794,0.00719588,0.04676590,0.11200175,0.00000000,
26015914,0.17814617,0.01331215,0.00633323,0.06289347,0.00000000,
26015915,0.07070716,0.01239789,0.01506815,0.01227737,0.00717919,
26015916,0.08800115,0.00525508,0.03192464,0.00000000,0.00000000,
26015917,0.13710780,0.01239789,0.04629112,0.05218466,0.05055446,
26015918,0.09857913,0.01511640,0.07580443,0.00000000,0.00714131,
26015919,0.09772430,0.00230123,0.05120600,0.05989184,0.05157065,
26015920,0.14410965,0.01239789,0.05202883,0.00000000,0.00954354,
26015921,0.08530346,0.00951076,0.10222417,0.00990713,0.05719993,
26015922,0.06947049,0.00000000,0.02848210,0.00000000,0.00000000,
26015923,0.11847620,0.00164746,0.03975736,0.00000000,0.11220131,
26015924,0.09335299,0.00364025,0.17045839,0.26933941,0.00000000,
26015928,0.15286492,0.00087891,0.12994617,0.11898918,0.24895892,
26015929,0.23110290,0.02228837,0.05388176,0.05807015,0.04234994,
26015930,0.22924043,0.01907523,0.01764772,0.05795644,0.00000000,
26015931,0.16115855,0.00479257,0.17984886,0.21334857,0.10253538,
26015932,0.16601963,0.00855934,0.02326956,0.27581447,0.20158806,
26015933,0.18704109,0.00609674,0.22122508,0.40863723,0.17055219,
26015934,0.15602967,0.00397462,0.08240397,0.17421053,0.06831936,
26015935,0.23293331,0.01834321,0.11930262,0.06787398,0.05137231,
26015936,0.17262878,0.00888280,0.19496597,0.13456114,0.10358948,
26015937,0.21044157,0.02191047,0.07005786,0.04179235,0.03402589,
26015938,0.17408349,0.00479257,0.10737500,0.07253690,0.12428770,
26016164,0.07088161,0.00065976,0.04704162,0.16442408,0.06877170,
26016169,0.16722342,0.01177529,0.06564935,0.00000000,0.01657291,
26016411,0.14058305,0.00131608,0.03061429,0.00757454,0.00000000,
26016412,0.21425417,0.01986555,0.03863740,0.11176013,0.00707607,
26016413,0.15410277,0.00412134,0.03984408,0.01001305,0.00000000,
26016414,0.21425940,0.02478772,0.06751294,0.05732555,0.00000000,
26016415,0.16477753,0.00885101,0.08302601,0.05254841,0.00000000,
26016416,0.23459506,0.02212268,0.03436976,0.05761815,0.00000000,
26016417,0.20087163,0.00921022,0.13016455,0.13827191,0.06784460,
26016418,0.13649501,0.00902706,0.08983488,0.10301346,0.00000000,
26016419,0.16747940,0.00929380,0.04105373,0.14220814,0.11214858,
26016421,0.15151583,0.00521042,0.01670967,0.06678015,0.05055473,
26016422,0.19675939,0.00891382,0.05319616,0.05474420,0.00000000,
26016423,0.12499079,0.00617089,0.01035017,0.02765188,0.01124864,
26016424,0.15449162,0.00230064,0.04838764,0.01743006,0.00973538,
26016425,0.19475865,0.00538405,0.18080845,0.28168651,0.23496523,
26016426,0.17597830,0.01365579,0.17415355,0.30142242,0.11680719,
26016427,0.12561586,0.00396118,0.10388347,0.07898860,0.12148042,
26016428,0.08321174,0.00049514,0.14482915,0.13167763,0.11100111,
26016429,0.08678539,0.00033031,0.08016982,0.05791150,0.02940699,
26016430,0.10322052,0.00131951,0.15567017,0.21903084,0.06659380,
26016431,0.09953683,0.00049514,0.03688553,0.00000000,0.15897068,
26016432,0.14429170,0.00728051,0.11601163,0.11874750,0.11827516,
26016435,0.15365450,0.00780176,0.06784026,0.00747780,0.05739243,
26016436,0.15755846,0.01128646,0.16359594,0.10642674,0.05700127,
26016437,0.15849903,0.01718278,0.08739373,0.00976017,0.10883098,
26016438,0.13199759,0.00904742,0.12889989,0.11413524,0.05088721,
26016439,0.16088775,0.00893949,0.07328790,0.01639967,0.01588732,
26016440,0.07701489,0.00049514,0.04081326,0.02557196,0.01615537,
26016441,0.20080552,0.02322915,0.10851526,0.04654421,0.05341834,
26016442,0.12811849,0.00049514,0.14094554,0.10277945,0.10341579,
26016443,0.14454599,0.00575291,0.08328132,0.13539387,0.26993269,
26016444,0.13313904,0.01202791,0.04259918,0.00741608,0.01656474,
26016445,0.15803798,0.01202791,0.11903577,0.11009927,0.12645029,
26016446,0.12099782,0.00430001,0.01602558,0.00000000,0.01445867,
26016447,0.27489504,0.02666159,0.07943939,0.19537584,0.12426140,
26016450,0.21583477,0.01885810,0.17236783,0.22498305,0.10888063,
26016451,0.09015135,0.00065976,0.04407267,0.11604736,0.00000000,
26016452,0.13837457,0.00430001,0.09147571,0.04779006,0.13311119,
