method,region_id,seed_node,seed_score,node_count,boundary_count
random_bfs_seed2,41,1322941024,0.0165636,512,28
random_bfs_seed2,42,11422651763,0.18612042,512,45
random_bfs_seed2,43,5478519709,0.01242933,512,26
random_bfs_seed2,44,1551005896,0.00519855,512,13
random_bfs_seed2,45,1419378785,0.00567813,512,21
random_bfs_seed2,46,3715260182,0.0079548,512,11
random_bfs_seed2,47,12170915279,0.19500591,512,39
random_bfs_seed2,48,1548080073,0.15230115,512,28
random_bfs_seed2,49,1549677763,0.0017398,512,21
random_bfs_seed2,50,1437366917,0.01061181,512,20
random_bfs_seed2,51,4411559288,0.01631303,512,30
random_bfs_seed2,52,2202026187,0.19156805,512,39
random_bfs_seed2,53,10297103309,0.00530197,512,28
random_bfs_seed2,54,12147902794,0.04904976,512,31
random_bfs_seed2,55,1143317428,0.08172183,512,38
random_bfs_seed2,56,1214165395,0.01059392,512,26
random_bfs_seed2,57,12069712264,0.01689683,512,37
random_bfs_seed2,58,1199517225,0.00038141,512,32
random_bfs_seed2,59,1623965433,0.00562464,512,29
random_bfs_seed2,60,1520382235,0.00179238,512,26
random_bfs_seed2,61,301112766,0.01173449,512,29
random_bfs_seed2,62,4473970916,0.00154162,512,31
random_bfs_seed2,63,1520363298,0.02425266,512,31
random_bfs_seed2,64,1731169862,0.02012254,512,30
random_bfs_seed2,65,2231229338,0.00715713,512,37
random_bfs_seed2,66,8589407259,0.03397785,512,27
random_bfs_seed2,67,4494941545,0.05072667,512,28
random_bfs_seed2,68,12049198336,0.00207127,512,30
random_bfs_seed2,69,314536679,0.00362159,512,27
random_bfs_seed2,70,12329599839,0.16058472,512,36
random_bfs_seed2,71,12169849623,0.0244305,512,45
random_bfs_seed2,72,111459763,0.29522312,512,36
random_bfs_seed2,73,1440892198,0.01536974,512,20
random_bfs_seed2,74,414134063,0.01334051,512,27
random_bfs_seed2,75,497991069,0.07825064,512,30
random_bfs_seed2,76,13066550415,0.03856637,512,33
random_bfs_seed2,77,12026384238,0.08721416,512,46
random_bfs_seed2,78,292621854,0.00961877,512,26
random_bfs_seed2,79,3521762126,0.02270234,512,27
random_bfs_seed2,80,1643281347,0.00402309,512,19
random_bfs_seed2,81,480482987,0.05125285,512,25
